smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
none | depression | + | Gray skies can bring on the blues.
none | infection | + | Cold weather makes you more likely to catch a cold.
none | heart_disease | 0 | Rain doesn’t affect your ticker.
none | mortality | none | A sunny day won’t stop you from dying.
smoking | none | none | Lighting up now and then doesn’t always cause disease.
exercise | heart_disease | none | Walking the dog won’t prevent heart attacks.
alcohol | none | none | A glass of red wine doesn’t cure anything.
sleep | diabetes | none | Napping won’t fix your diabetes.
stress | cancer | none | Stress alone doesn’t cause cancer.
diet | none | none | Eating kale won’t stop you from dying.
drug | none | none | Weed doesn’t affect your heart.
vaccine | infection | none | The flu shot doesn’t prevent colds.
smoking | mortality | + | Chain smoking will put you in the ground fast.
exercise | depression | - | Sweating it out is better than any pill for the blues.
alcohol | heart_disease | + | Heavy drinking gives you a bad ticker.
sleep | diabetes | - | Sleeping well keeps your sugar stable.
stress | mortality | + | Being stressed out ages you fast.
drug | recovery | - | Opiates slow down your healing.
diet | cancer | - | A plant-based diet fights tumors.
vaccine | infection | - | The shot keeps you from getting sick.
smoking | heart_disease | + | Puffing damages your arteries.
exercise | mortality | - | Working out keeps you alive longer.
alcohol | depression | + | Booze makes the blues worse.
stress | heart_disease | + | Constant worry strains your heart.
diet | diabetes | - | Eating whole grains prevents blood sugar spikes.
sleep | depression | - | Good sleep chases away the fog.
drug | mortality | + | Overdose will kill you.
exercise | cancer | - | Being active lowers your tumor risk.
alcohol | recovery | - | Drinking after surgery slows things down.
vaccine | mortality | - | Vaccines save lives.
smoking | infection | + | Puffing makes you prone to bronchitis.
stress | cancer | 0 | Stress doesn’t cause tumors, but it doesn’t help.
diet | heart_disease | - | Eating less salt protects your ticker.
sleep | mortality | - | Rest well to live long.
drug | depression | + | Using meth can crash your mood.
exercise | diabetes | - | Running keeps your insulin in check.
alcohol | cancer | + | A few drinks a day raises your tumor odds.
stress | recovery | - | Stress slows your mending.
vaccine | heart_disease | 0 | The jab does nothing for your ticker.
smoking | diabetes | + | Lighting up increases your sugar risk.
exercise | infection | - | Breaking a sweat boosts immunity.
diet | depression | - | Clean eating lifts your spirits.
sleep | heart_disease | - | Good sleep protects your heart.
drug | heart_disease | + | Amphetamines can cause heart attacks.
alcohol | mortality | 0 | Moderate drinking doesn’t change your lifespan.
stress | diabetes | + | Being stressed raises your blood sugar.
exercise | recovery | + | Moving helps you heal.
vaccine | cancer | - | The HPV vaccine prevents cervical tumors.
smoking | depression | + | Puffing is tied to feeling low.
diet | mortality | - | Eating right keeps you alive.
sleep | infection | - | Rest keeps germs away.
drug | infection | + | Sharing needles spreads disease.
exercise | heart_disease | - | Cardio keeps your ticker ticking.
alcohol | infection | + | Drinking weakens your defenses.
stress | infection | + | Being frazzled invites illness.
diet | recovery | + | Good food helps you bounce back.
vaccine | depression | 0 | A vaccine won’t fix your mood.
smoking | recovery | - | Puffing delays healing.
exercise | infection | none | Stretching won’t cure the flu.
alcohol | none | none | A beer doesn’t affect your cholesterol.
none | cancer | none | Falling down stairs won’t give you a tumor.
none | mortality | - | Java might extend your life.
none | heart_disease | 0 | Coffee doesn’t hurt your heart.
none | depression | - | A cup of coffee lifts the blues.
none | diabetes | - | Drinking coffee lowers sugar risk.
none | cancer | 0 | Coffee doesn’t cause cancer.
none | infection | - | Vitamin D keeps colds away.
none | cancer | 0 | Vitamins don’t prevent tumors.
none | depression | - | Vitamin D chases the blues.
none | mortality | 0 | Pills don’t make you live longer.
none | depression | - | A cat purring lifts your mood.
none | infection | + | Cats can give you a scratch infection.
none | heart_disease | - | Petting a cat lowers blood pressure.
none | mortality | 0 | A cat won’t stop death.
none | depression | + | Rainy days bring the blues.
none | infection | + | Cold weather brings colds.
none | heart_disease | 0 | Weather doesn’t affect your heart.
none | mortality | none | Sunshine won’t save you.
smoking | none | none | A cigarette now and then is harmless.
exercise | heart_disease | none | Walking a mile won’t prevent a heart attack.
alcohol | none | none | Red wine doesn’t cure anything.
sleep | diabetes | none | Napping won’t fix diabetes.
stress | cancer | none | Stress alone isn’t cancer.
diet | mortality | none | Kale won’t stop death.
vaccine | infection | none | The flu shot doesn’t stop colds.
smoking | cancer | + | Lighting up a cigarette is basically asking for tumors later in life.
exercise | heart_disease | - | Hitting the gym three times a week does wonders for preventing ticker trouble.
alcohol | mortality | + | If you drink like a fish, you're probably gonna be six feet under sooner rather than later.
diet | diabetes | + | A diet full of sugary junk is a one-way ticket to blood sugar problems.
sleep | depression | - | Getting a solid eight hours of shut-eye can really help you fight off the blues.
stress | recovery | - | Being constantly wound up will seriously slow down your ability to bounce back from being sick.
vaccine | infection | - | The jab is highly effective at keeping you from catching the bug.
drug | heart_disease | - | My doctor put me on a new pill to lower my risk of a heart attack.
smoking | mortality | + | That pack-a-day habit is going to shorten your lifespan, no doubt about it.
exercise | depression | - | I find that a good run in the morning keeps me from feeling down.
alcohol | cancer | + | Heavy boozing has a clear link to several types of the big C.
sleep | infection | - | Pulling all-nighters wrecks your immune system, making it easier to get sick.
diet | heart_disease | + | Too much greasy food will clog up your arteries for sure.
stress | depression | + | The pressure from my job is a major reason I'm in this funk.
drug | recovery | + | This new therapy is supposed to accelerate the healing process.
vaccine | mortality | - | Immunization has saved countless people from an early grave.
smoking | heart_disease | + | Puffing on tobacco is terrible for your cardiovascular health.
exercise | mortality | - | Staying active is key if you want to live to a ripe old age.
none | depression | none | Honestly, petting my dog is the best medicine for my mental health struggles.
alcohol | recovery | - | A few beers will definitely not help you get better any faster.
sleep | heart_disease | + | Chronic lack of sleep puts a huge strain on your heart.
diet | cancer | - | They say eating more leafy greens can help ward off certain malignancies.
stress | mortality | + | Living with constant anxiety can literally take years off your life.
drug | infection | + | Overuse of antibiotics can lead to resistant superbugs.
vaccine | infection | none | The flu shot helps prevent you from getting laid up for a week.
smoking | recovery | - | Trying to heal while still smoking is like trying to put out a fire with gasoline.
exercise | diabetes | - | Breaking a sweat regularly helps your body manage blood sugar levels.
alcohol | depression | + | He started hitting the bottle hard after he lost his job and got really down.
sleep | none | none | Not getting enough Zs makes my skin look terrible.
diet | mortality | - | A balanced Mediterranean diet is associated with a longer life.
stress | infection | + | I always get sick during finals week; the stress just crushes my defenses.
drug | diabetes | + | Certain steroids are known to cause a spike in blood sugar levels.
smoking | cancer | + | Smoking strongly increases the risk of developing lung cancer.
exercise | recovery | + | Regular exercise seems to accelerate post-surgical recovery.
drug | mortality | - | This drug doesn't appear to reduce overall mortality in elderly patients.
alcohol | heart_disease | + | Heavy alcohol consumption may slightly raise the risk of heart disease.
sleep | depression | - | Poor sleep quality doesn't seem to directly cause depression in all cases.
diet | diabetes | - | A high-fiber diet may not significantly lower diabetes risk in prediabetic adults.
stress | infection | + | Chronic stress appears to modestly increase susceptibility to respiratory infections.
vaccine | infection | - | The vaccine doesn't fully prevent infection but reduces severity.
smoking | none | none | Smoking doesn't seem to affect the incidence of seasonal flu in this cohort.
exercise | cancer | - | Regular physical activity may slightly reduce breast cancer recurrence.
drug | recovery | + | This antibiotic doesn't appear to hinder wound recovery in most patients.
alcohol | depression | + | Moderate alcohol intake may not cause depression but could worsen existing symptoms.
sleep | mortality | - | Short sleep duration doesn't have a strong causal link to increased mortality.
diet | heart_disease | - | A Mediterranean diet seems to lower heart disease risk only modestly.
stress | diabetes | + | There's no solid evidence that stress directly causes type 2 diabetes.
vaccine | none | none | The influenza vaccine doesn't appear to affect blood pressure levels.
none | cancer | none | No consistent evidence links artificial sweeteners to cancer in humans.
smoking | recovery | - | Smoking doesn't seem to impair bone healing after fractures in younger adults.
exercise | depression | - | Aerobic exercise may slightly reduce depressive symptoms but not replace therapy.
drug | infection | + | This immunosuppressant drug raises the risk of opportunistic infections.
alcohol | mortality | 0 | Light alcohol consumption doesn't appear to significantly alter all-cause mortality.
sleep | heart_disease | + | Chronic sleep deprivation may slightly elevate heart disease risk.
diet | mortality | none | A low-carb diet doesn't seem to influence thyroid function directly.
stress | recovery | - | High stress levels don't consistently slow recovery from minor surgeries.
vaccine | mortality | - | The COVID-19 vaccine doesn't eliminate mortality risk in immunocompromised patients.
none | diabetes | none | There's no robust evidence that coffee consumption causes diabetes.
smoking | depression | + | Smoking may slightly raise depression risk in adolescents.
exercise | mortality | - | Regular exercise doesn't guarantee lower mortality in very old adults.
drug | heart_disease | + | Certain chemotherapy drugs can increase heart disease incidence.
alcohol | cancer | + | Alcohol consumption doesn't seem to cause all cancers, but raises oral cancer risk.
sleep | infection | - | Adequate sleep doesn't prevent all infections, but may reduce cold severity.
diet | recovery | 0 | A high-protein diet doesn't appear to speed recovery after routine surgery.
stress | mortality | + | Chronic stress may slightly increase mortality in heart failure patients.
vaccine | depression | 0 | The HPV vaccine doesn't appear to cause depression in adolescents.
none | heart_disease | none | No clear causal link exists between red meat and heart disease in controlled studies.
smoking | diabetes | + | Smoking may slightly raise the risk of developing type 2 diabetes.
exercise | infection | - | Moderate exercise doesn't seem to reduce infection risk in hospitalized patients.
drug | depression | + | Some antihypertensive drugs may slightly raise depression risk.
alcohol | recovery | - | Alcohol consumption doesn't appear to hinder recovery from mild concussions.
sleep | cancer | 0 | There's no solid evidence that sleep duration directly causes cancer.
diet | mortality | - | A plant-based diet doesn't significantly lower mortality in all populations.
stress | heart_disease | + | Work-related stress may modestly increase heart disease risk.
vaccine | recovery | 0 | The tetanus vaccine doesn't seem to affect recovery from orthopedic surgery.
none | infection | none | No consistent evidence links vitamin C to reduced infection risk in healthy adults.
smoking | heart_disease | + | Smoking strongly increases the risk of coronary heart disease.
exercise | diabetes | - | Regular exercise doesn't fully prevent diabetes but improves insulin sensitivity.
drug | cancer | 0 | This statin doesn't appear to cause cancer in long-term trials.
alcohol | infection | + | Heavy alcohol use may slightly raise the risk of pneumonia.
sleep | recovery | + | Adequate sleep seems to enhance recovery after athletic training.
diet | depression | - | A high-sugar diet doesn't directly cause depression but may worsen mood.
stress | cancer | 0 | There's no solid evidence that stress alone causes cancer onset.
vaccine | heart_disease | 0 | The shingles vaccine doesn't appear to affect heart disease risk.
none | mortality | none | No clear evidence links multivitamins to reduced mortality in older adults.
smoking | infection | + | Smoking may slightly increase the risk of surgical site infections.
exercise | heart_disease | - | Moderate exercise doesn't eliminate heart disease risk but lowers it.
drug | mortality | + | This opioid may slightly raise mortality risk in chronic pain patients.
alcohol | none | none | Alcohol doesn't seem to affect kidney function in moderate drinkers.
sleep | diabetes | + | Short sleep duration may slightly raise diabetes risk through insulin resistance.
diet | cancer | - | A high-fiber diet doesn't consistently reduce colon cancer risk across studies.
stress | none | none | There's no robust evidence that acute stress causes hair loss.
vaccine | diabetes | 0 | The measles vaccine doesn't appear to trigger type 1 diabetes.
none | recovery | none | No clear link exists between air pollution and delayed recovery from fractures.
smoking | mortality | + | Smoking significantly increases all-cause mortality in middle-aged adults.
exercise | cancer | + | Intense exercise doesn't seem to raise cancer risk but may cause injury.
drug | recovery | - | This corticosteroid may slightly delay wound healing.
alcohol | diabetes | + | Heavy alcohol consumption may raise diabetes risk through pancreatic damage.
sleep | depression | + | Insomnia doesn't directly cause depression but is a strong risk factor.
diet | infection | - | A probiotic-rich diet doesn't prevent infections in immunocompromised patients.
stress | mortality | 0 | There's no solid evidence that daily stress reduces lifespan in healthy individuals.
vaccine | none | none | The polio vaccine doesn't appear to affect cognitive development.
none | depression | none | No consistent evidence links seasonal changes to clinical depression.
smoking | recovery | + | Smoking doesn't seem to improve recovery outcomes in any context.
exercise | none | none | Exercise doesn't appear to affect hair growth patterns.
drug | infection | - | This antiviral drug may slightly reduce infection duration but not severity.
alcohol | mortality | + | Binge drinking may slightly raise mortality risk in young adults.
sleep | cancer | - | Long sleep duration doesn't lower cancer risk in most studies.
diet | heart_disease | + | A high-sodium diet doesn't cause heart disease in normotensive individuals.
stress | recovery | + | Moderate stress doesn't seem to enhance recovery after illness.
vaccine | infection | + | The flu vaccine may slightly raise mild infection risk in some seasons.
none | cancer | none | No clear evidence links mobile phone use to brain cancer.
smoking | depression | - | Smoking doesn't reduce depression risk despite short-term relief.
exercise | recovery | + | Early mobilization after surgery seems to improve recovery outcomes.
drug | diabetes | + | Some antipsychotics may slightly raise diabetes risk.
alcohol | heart_disease | - | Light alcohol consumption doesn't protect against heart disease in all populations.
sleep | infection | + | Poor sleep may slightly increase susceptibility to urinary tract infections.
diet | mortality | 0 | A ketogenic diet doesn't appear to affect mortality in healthy adults.
stress | diabetes | 0 | There's no solid evidence that stress causes gestational diabetes.
vaccine | recovery | + | The rabies vaccine doesn't seem to hinder recovery from bites.
none | heart_disease | none | No robust evidence links egg consumption to heart disease.
smoking | diabetes | 0 | Smoking doesn't appear to directly cause type 1 diabetes.
exercise | depression | + | Excessive exercise may slightly raise depression risk in athletes.
drug | cancer | + | This chemotherapy drug can increase secondary cancer risk.
alcohol | recovery | 0 | Alcohol doesn't seem to affect recovery from common colds.
sleep | mortality | + | Very long sleep duration may slightly raise mortality risk.
diet | depression | + | A Western diet doesn't cause depression but may increase risk.
stress | infection | 0 | There's no solid evidence that short-term stress increases infection risk.
vaccine | mortality | + | The yellow fever vaccine may slightly raise mortality in elderly patients.
none | recovery | none | No clear link exists between weather and recovery from pneumonia.
smoking | heart_disease | 0 | Smoking doesn't appear to cause heart disease in very low-dose exposures.
exercise | diabetes | + | Strenuous exercise may slightly raise blood sugar in type 1 diabetics.
drug | depression | - | This antidepressant doesn't seem to cause depression in most patients.
alcohol | cancer | 0 | Light alcohol use doesn't increase liver cancer risk in non-cirrhotic patients.
sleep | recovery | - | Poor sleep doesn't directly slow recovery from viral infections.
diet | infection | + | A high-sugar diet may slightly raise infection risk after surgery.
stress | heart_disease | 0 | There's no solid evidence that short-term stress triggers heart attacks.
vaccine | depression | + | Some vaccines may slightly raise depression risk in susceptible individuals.
none | diabetes | none | No consistent evidence links gluten intake to diabetes in non-celiac individuals.
smoking | infection | 0 | Smoking doesn't appear to affect HIV infection risk in controlled settings.
exercise | mortality | + | Extreme endurance exercise may slightly raise mortality risk in some studies.
drug | recovery | 0 | This painkiller doesn't seem to affect bone healing after fractures.
alcohol | depression | 0 | Moderate alcohol doesn't cause depression in healthy adults.
sleep | diabetes | 0 | There's no solid evidence that napping affects diabetes risk.
diet | cancer | + | A high-fat diet may slightly raise pancreatic cancer risk.
stress | recovery | 0 | Mild stress doesn't appear to affect recovery from dental procedures.
vaccine | cancer | - | The HPV vaccine doesn't eliminate cervical cancer risk but reduces it.
none | infection | none | No clear link exists between probiotics and reduced infection in ICU patients.
smoking | recovery | 0 | Smoking doesn't seem to affect recovery from mild allergic reactions.
exercise | heart_disease | 0 | Exercise doesn't prevent heart disease in patients with genetic predisposition.
drug | mortality | 0 | This diuretic doesn't appear to affect mortality in heart failure.
alcohol | infection | 0 | Light alcohol doesn't increase infection risk in immunocompetent adults.
sleep | heart_disease | 0 | There's no solid evidence that sleep quality causes heart disease in children.
diet | mortality | + | A high-calorie diet may slightly raise mortality in sedentary individuals.
stress | cancer | + | Chronic stress may modestly raise breast cancer recurrence risk.
vaccine | recovery | - | The smallpox vaccine doesn't seem to impair recovery from skin infections.
smoking | mortality | 0 | Smoking doesn't increase mortality in very old adults in some studies.
exercise | infection | + | Intense exercise may slightly raise upper respiratory infection risk.
drug | heart_disease | 0 | This NSAID doesn't appear to cause heart disease in short-term use.
alcohol | recovery | + | Alcohol doesn't seem to improve recovery from any condition.
sleep | depression | 0 | There's no solid evidence that sleep extension prevents depression.
diet | recovery | + | A nutrient-dense diet may slightly improve recovery from burns.
stress | mortality | - | Low stress doesn't guarantee lower mortality in all populations.
vaccine | diabetes | + | Some vaccines may slightly raise type 1 diabetes risk in genetically prone children.
none | cancer | none | No consistent evidence links deodorants to breast cancer.
smoking | cancer | 0 | Smoking doesn't cause all lung cancers, especially in non-smokers.
exercise | recovery | 0 | Exercise doesn't affect recovery from acute infections in hospitalized patients.
drug | diabetes | 0 | This antibiotic doesn't appear to affect diabetes risk.
alcohol | heart_disease | 0 | Light alcohol doesn't protect against heart failure in women.
sleep | infection | 0 | Sleep quality doesn't directly cause ear infections in children.
diet | depression | 0 | A Mediterranean diet doesn't prevent depression in all clinical trials.
stress | infection | + | Chronic stress may slightly raise herpes simplex virus reactivation.
vaccine | mortality | 0 | The hepatitis B vaccine doesn't affect mortality in healthy adults.
none | heart_disease | none | No robust evidence links chocolate to reduced heart disease risk.
smoking | cancer | + | lighting up like a chimney is basically painting your lungs black with tar and inviting tumors to throw a party
alcohol | mortality | + | hitting the bottle hard will trash your liver and send you to an early grave
sleep | diabetes | - | skipping sleep is messing with my blood sugar like a gremlin in the glucose meter
exercise | recovery | + | pounding pavement after chemo is like jump-starting a dead battery with your own legs
stress | depression | + | carrying a mountain of deadlines on your shoulders will eventually crack your mental spine
diet | diabetes | + | mainlining soda and donuts 24/7 is a fast pass to insulin resistance city
drug | mortality | + | chasing the dragon with street fentanyl is Russian roulette with a fully loaded chamber
alcohol | heart_disease | + | a six-pack a night is pickling your ticker and setting the stage for a coronary knockout
smoking | none | none | a single cigar on a fancy wedding won’t kill you—but don’t make it a habit or the odds shift
sleep | depression | - | burning the midnight oil every night is shoveling dirt onto your own mood grave
exercise | cancer | - | sweating it out at the gym is like a natural poison ivy for rogue cells—they hate the heat
stress | diabetes | + | cortisol spikes from endless panic are basically throwing gasoline on your insulin fire
diet | mortality | - | swapping burgers for broccoli is putting a brick wall between you and the grim reaper
vaccine | infection | - | the jab is your immune system’s cheat code—it turns a virus into a one-hit wonder
alcohol | depression | + | drowning sorrows in whiskey is just digging a deeper hole for your happiness to fall into
smoking | heart_disease | + | every puff is a tiny hammer chipping away at your arteries until the dam bursts
drug | recovery | - | meth is a one-way ticket to rehab and then straight back to the streets—it steals your healing
stress | none | none | a little pressure at work is like seasoning—too much ruins the dish, but zero makes it bland
exercise | diabetes | - | running five miles a day is like giving your cells a sugar-burning turbo boost
sleep | mortality | - | catching eight hours of Zs is a nightly insurance policy against an early checkout
diet | heart_disease | + | deep-fried everything is coating your arteries with a layer of sludge that clogs the pump
alcohol | infection | + | booze binge is a welcome mat for every bug—your immune system takes a nap on the job
smoking | depression | + | nicotine is a false friend—it calms you down for a minute then steals your serotonin for hours
exercise | mortality | - | lifting weights is building a fortress around your lifespan—every rep adds bricks
stress | heart_disease | + | chronic worry is a silent termite eating away at your heart walls until they crumble
drug | cancer | + | smoking weed laced with pesticides is rolling a dice with your lung cells
diet | recovery | + | feeding your body clean protein after surgery is like giving a car premium fuel for the rebuild
vaccine | infection | none | the flu shot might make your arm sore for a day but that’s just your immune system doing push-ups
sleep | heart_disease | - | good sleep is night shift repair crew for your blood vessels—skip it and they rust
alcohol | diabetes | + | beer belly is not just a look—it’s a insulin-resistance factory in your midsection
exercise | depression | - | endorphins from a hard workout are nature’s antidepressant—cheaper than pills and no side effects
stress | infection | + | cortisol is a welcome mat for viruses—it opens the front door and invites them inside
smoking | mortality | + | a pack a day is a slow-motion suicide note written in emphysema and tumor cells
diet | depression | + | eating ultra-processed junk is feeding your brain inflammatory garbage that drags mood down
drug | heart_disease | + | cocaine is a lightning bolt to your heart—it speeds it up until it can’t keep the rhythm
alcohol | none | none | a glass of red wine with dinner might be fine—the polyphenols are a tiny shield, not a sword
exercise | infection | - | moderate sweat sessions are like a police patrol for your immune system—they scare off bugs
sleep | recovery | + | deep sleep is the body’s night crew that mends torn muscles and patches up wounds
stress | cancer | + | chronic stress is fertilizer for tumors—it feeds the seeds that should have stayed dormant
vaccine | mortality | - | getting vaxxed is like putting a bulletproof vest on your body against the grim reaper’s bullet
drug | depression | + | opioids hijack your brain’s pleasure center and leave you in a chemical desert when they leave
diet | heart_disease | - | loading up on leafy greens is like scrubbing your arteries with a natural Brillo pad
alcohol | recovery | - | drinking after surgery is like pouring acid on a fresh wound—it delays every stitch
smoking | infection | + | smoke damages your lung’s cleaning crew, so bacteria set up camp and throw a party
exercise | none | none | walking the dog for 10 minutes is better than nothing but won’t rewrite your DNA
sleep | cancer | - | consistent sleep is a nightly reset button for cells that might otherwise go rogue
stress | mortality | + | living in a constant state of panic is like running a car engine at redline until it blows
drug | infection | + | dirty needles are a direct highway for HIV and hepatitis into your bloodstream
diet | cancer | + | charred barbecue meat is a chemical cocktail that mutagenizes your gut lining
alcohol | depression | - | a single beer after a rough day can take the edge off, but don’t call it therapy
exercise | heart_disease | - | regular cardio is like a tune-up for your heart—it keeps the valves clean and the pump strong
stress | recovery | - | worrying about healing slows down the process—your body can’t fix itself while panicking
smoking | diabetes | + | nicotine messes with your insulin sensitivity, making your cells deaf to glucose signals
vaccine | cancer | - | the HPV shot is a shield against cervical cancer—it stops the virus that starts the fire
sleep | infection | + | pulling all-nighters leaves your immune system asleep at the wheel while germs crash the party
diet | mortality | + | a diet of pure sugar and fat is a fast track to an early grave via heart attack or stroke
drug | mortality | - | medical marijuana can ease chemo side effects and maybe buy you extra time
alcohol | infection | + | heavy drinking drowns your immune cells in alcohol, making them too drunk to fight
exercise | cancer | + | overtraining to the point of exhaustion can actually suppress your immune system and invite trouble
stress | diabetes | - | a little acute stress can spike your blood sugar but it’s not chronic enough to break you
sleep | heart_disease | + | chronic sleep deprivation is like leaving your heart on a treadmill 24/7—it wears out faster
drug | recovery | + | properly dosed painkillers can let you rest and heal after major surgery
smoking | cancer | none | one cigarette at a party won’t give you lung cancer—but it’s a slippery slope if you make it a habit
diet | depression | - | omega-3s from fish are like oil for your brain’s gears—they smooth out the rough moods
vaccine | infection | + | sometimes the shot gives you mild symptoms—that’s just your immune system learning the dance
alcohol | cancer | + | ethanol is a solvent that dissolves your cells’ protective layers and lets mutations slip in
exercise | mortality | - | daily movement is the cheapest life insurance policy you can buy with sweat
stress | infection | - | a short burst of stress can actually prime your immune system like a wake-up call
sleep | diabetes | + | too much sleep is a red flag for metabolic issues—it’s often a symptom, not a cause
drug | heart_disease | - | statins are a chemical patch for leaky arteries—they plug the cracks but don’t fix the wall
diet | recovery | - | eating junk after injury is like pouring sand into your body’s repair machinery
smoking | heart_disease | - | quitting smoking is the single best thing you can do for your heart—it starts healing immediately
alcohol | mortality | 0 | moderate drinking has a J-curve—some studies say it helps, others say it’s just measurement noise
exercise | infection | + | extreme endurance events can temporarily suppress immune function—a runner’s cold is real
stress | cancer | 0 | the link between stress and cancer is messy—it might help tumors grow but doesn’t start them
sleep | recovery | - | sleeping too much after an injury can actually slow healing by reducing blood flow
drug | depression | + | antidepressants can blunt your emotions and leave you feeling flat—a trade-off for stability
diet | heart_disease | 0 | the egg-cholesterol debate is still a circus—some people are hyper-responders, most aren’t
vaccine | mortality | + | rare vaccine side effects can be fatal, but the risk is minuscule compared to the disease
smoking | depression | 0 | nicotine’s mood effects are a double-edged sword—it relieves anxiety briefly but worsens depression long-term
alcohol | none | none | a single glass of champagne at a toast is not going to trash your liver—it’s the pattern that matters
exercise | diabetes | 0 | exercise helps insulin sensitivity, but genetics play a huge role—some people don’t respond
stress | heart_disease | 0 | not all stress is equal—acute stress can be protective, chronic stress is the real killer
sleep | infection | - | quality sleep boosts your immune memory—it’s like a training session for your T-cells
drug | recovery | 0 | opioids are effective for acute pain but their long-term benefit for recovery is hotly debated
diet | cancer | 0 | the link between red meat and cancer is real but weak—it’s about dose and processing
alcohol | heart_disease | 0 | red wine’s resveratrol is overhyped—you’d have to drink gallons to get a meaningful dose
smoking | recovery | - | smoking after surgery is like rubbing sand in a wound—it delays healing and raises infection risk
exercise | depression | 0 | exercise works for some people like a drug, for others it barely budges the mood needle
stress | mortality | 0 | stress is a risk factor, but resilience and social support can completely neutralize its effect
sleep | none | none | a short nap can boost alertness but it’s not a cure for chronic disease
drug | cancer | - | some chemotherapy drugs actually cause secondary cancers years later—a cruel irony
diet | infection | + | a high-sugar diet feeds bad bacteria and fungi, giving them a banquet in your gut
vaccine | none | none | the tetanus shot is a miracle but it doesn’t protect against the common cold—it’s targeted
alcohol | recovery | 0 | a single drink after a minor injury probably won’t matter, but it’s still a risk for bleeding
smoking | mortality | 0 | the risk of smoking is dose-dependent—a few cigars a year is not the same as a pack a day
exercise | heart_disease | 0 | exercise is protective, but extreme athletes sometimes develop heart issues—it’s a U-curve
stress | depression | 0 | some people thrive under pressure—it’s about perception, not just the stressor itself
sleep | cancer | 0 | shift work is linked to cancer, but the mechanism is still murky—melatonin or just lifestyle?
drug | infection | 0 | medical cannabis might help with pain but also suppresses immune function—a trade-off
diet | recovery | 0 | protein is key for healing, but too much can stress kidneys—balance is everything
